Areal Rainfall,obs,month
1951-01,788,1
1951-02,172,2
1951-03,151,3
1951-04,210,4
1951-05,135,5
1951-06,39,6
1951-07,39,7
1951-08,71,8
1951-09,206,9
1951-10,215,10
1951-11,427,11
1951-12,417,12
1952-01,470,1
1952-02,130,2
1952-03,149,3
1952-04,368,4
1952-05,165,5
1952-06,14,6
1952-07,78,7
1952-08,27,8
1952-09,116,9
1952-10,116,10
1952-11,279,11
1952-12,237,12
1953-01,313,1
1953-02,171,2
1953-03,155,3
1953-04,251,4
1953-05,12,5
1953-06,40,6
1953-07,132,7
1953-08,50,8
1953-09,86,9
1953-10,312,10
1953-11,266,11
1953-12,431,12
1954-01,353,1
1954-02,214,2
1954-03,203,3
1954-04,265,4
1954-05,81,5
1954-06,9,6
1954-07,24,7
1954-08,79,8
1954-09,32,9
1954-10,304,10
1954-11,263,11
1954-12,447,12
1955-01,599,1
1955-02,290,2
1955-03,196,3
1955-04,240,4
1955-05,74,5
1955-06,25,6
1955-07,35,7
1955-08,154,8
1955-09,242,9
1955-10,130,10
1955-11,211,11
1955-12,204,12
1956-01,172,1
1956-02,55,2
1956-03,147,3
1956-04,124,4
1956-05,11,5
1956-06,128,6
1956-07,27,7
1956-08,78,8
1956-09,35,9
1956-10,199,10
1956-11,520,11
1956-12,358,12
1957-01,215,1
1957-02,207,2
1957-03,66,3
1957-04,160,4
1957-05,150,5
1957-06,24,6
1957-07,49,7
1957-08,26,8
1957-09,70,9
1957-10,322,10
1957-11,586,11
1957-12,1031,12
1958-01,268,1
1958-02,81,2
1958-03,256,3
1958-04,277,4
1958-05,163,5
1958-06,14,6
1958-07,25,7
1958-08,76,8
1958-09,79,9
1958-10,197,10
1958-11,289,11
1958-12,380,12
1959-01,202,1
1959-02,130,2
1959-03,45,3
1959-04,332,4
1959-05,186,5
1959-06,53,6
1959-07,27,7
1959-08,36,8
1959-09,91,9
1959-10,336,10
1959-11,365,11
1959-12,319,12
1960-01,409,1
1960-02,619,2
1960-03,50,3
1960-04,265,4
1960-05,110,5
1960-06,17,6
1960-07,182,7
1960-08,23,8
1960-09,63,9
1960-10,258,10
1960-11,322,11
1960-12,171,12
1961-01,332,1
1961-02,226,2
1961-03,187,3
1961-04,256,4
1961-05,116,5
1961-06,30,6
1961-07,36,7
1961-08,31,8
1961-09,117,9
1961-10,241,10
1961-11,487,11
1961-12,399,12
1962-01,287,1
1962-02,127,2
1962-03,161,3
1962-04,239,4
1962-05,167,5
1962-06,30,6
1962-07,27,7
1962-08,149,8
1962-09,45,9
1962-10,243,10
1962-11,261,11
1962-12,300,12
1963-01,409,1
