Areal Rainfall,obs,month
1951-01,168,1
1951-02,53,2
1951-03,213,3
1951-04,233,4
1951-05,578,5
1951-06,325,6
1951-07,353,7
1951-08,9,8
1951-09,387,9
1951-10,212,10
1951-11,470,11
1951-12,95,12
1952-01,218,1
1952-02,179,2
1952-03,44,3
1952-04,280,4
1952-05,462,5
1952-06,257,6
1952-07,41,7
1952-08,69,8
1952-09,156,9
1952-10,443,10
1952-11,273,11
1952-12,140,12
1953-01,124,1
1953-02,178,2
1953-03,270,3
1953-04,405,4
1953-05,34,5
1953-06,212,6
1953-07,685,7
1953-08,72,8
1953-09,133,9
1953-10,698,10
1953-11,266,11
1953-12,192,12
1954-01,136,1
1954-02,153,2
1954-03,395,3
1954-04,481,4
1954-05,497,5
1954-06,75,6
1954-07,101,7
1954-08,190,8
1954-09,95,9
1954-10,467,10
1954-11,197,11
1954-12,433,12
1955-01,160,1
1955-02,219,2
1955-03,190,3
1955-04,237,4
1955-05,474,5
1955-06,289,6
1955-07,188,7
1955-08,34,8
1955-09,468,9
1955-10,574,10
1955-11,427,11
1955-12,36,12
1956-01,109,1
1956-02,84,2
1956-03,227,3
1956-04,342,4
1956-05,144,5
1956-06,239,6
1956-07,38,7
1956-08,96,8
1956-09,240,9
1956-10,435,10
1956-11,320,11
1956-12,208,12
1957-01,81,1
1957-02,151,2
1957-03,34,3
1957-04,254,4
1957-05,494,5
1957-06,360,6
1957-07,202,7
1957-08,49,8
1957-09,26,9
1957-10,235,10
1957-11,614,11
1957-12,564,12
1958-01,97,1
1958-02,81,2
1958-03,264,3
1958-04,331,4
1958-05,494,5
1958-06,283,6
1958-07,55,7
1958-08,118,8
1958-09,103,9
1958-10,401,10
1958-11,389,11
1958-12,170,12
1959-01,68,1
1959-02,95,2
1959-03,64,3
1959-04,385,4
1959-05,394,5
1959-06,443,6
1959-07,241,7
1959-08,234,8
1959-09,319,9
1959-10,278,10
1959-11,333,11
1959-12,188,12
1960-01,67,1
1960-02,209,2
1960-03,77,3
1960-04,299,4
1960-05,377,5
1960-06,178,6
1960-07,480,7
1960-08,78,8
1960-09,178,9
1960-10,343,10
1960-11,386,11
1960-12,79,12
1961-01,101,1
1961-02,86,2
1961-03,247,3
1961-04,341,4
1961-05,500,5
1961-06,259,6
1961-07,260,7
1961-08,336,8
1961-09,414,9
1961-10,389,10
1961-11,357,11
1961-12,268,12
1962-01,124,1
1962-02,63,2
1962-03,160,3
1962-04,290,4
1962-05,589,5
1962-06,218,6
1962-07,128,7
1962-08,359,8
1962-09,266,9
1962-10,438,10
1962-11,276,11
1962-12,110,12
1963-01,81,1
1963-02,220,2
1963-03,196,3
1963-04,282,4
1963-05,535,5
1963-06,260,6
1963-07,526,7
1963-08,171,8
1963-09,596,9
1963-10,546,10
1963-11,453,11
1963-12,243,12
1964-01,53,1
1964-02,109,2
1964-03,211,3
1964-04,153,4
1964-05,563,5
1964-06,216,6
1964-07,379,7
1964-08,115,8
1964-09,208,9
1964-10,398,10
1964-11,236,11
1964-12,140,12
1965-01,57,1
1965-02,92,2
1965-03,87,3
1965-04,302,4
1965-05,560,5
1965-06,121,6
1965-07,158,7
1965-08,357,8
1965-09,378,9
1965-10,485,10
1965-11,276,11
1965-12,263,12
1966-01,180,1
1966-02,66,2
1966-03,216,3
1966-04,443,4
1966-05,182,5
1966-06,143,6
1966-07,155,7
1966-08,107,8
1966-09,607,9
1966-10,548,10
1966-11,238,11
1966-12,169,12
1967-01,100,1
1967-02,94,2
1967-03,138,3
1967-04,170,4
1967-05,483,5
1967-06,293,6
1967-07,228,7
1967-08,185,8
1967-09,336,9
1967-10,601,10
1967-11,316,11
1967-12,211,12
1968-01,45,1
1968-02,19,2
1968-03,226,3
1968-04,321,4
1968-05,192,5
1968-06,370,6
1968-07,313,7
1968-08,62,8
1968-09,255,9
1968-10,304,10
1968-11,264,11
1968-12,181,12
1969-01,93,1
1969-02,105,2
1969-03,78,3
1969-04,387,4
1969-05,722,5
1969-06,167,6
1969-07,52,7
1969-08,273,8
1969-09,152,9
1969-10,530,10
1969-11,257,11
1969-12,465,12
1970-01,159,1
1970-02,172,2
1970-03,216,3
1970-04,423,4
1970-05,530,5
1970-06,261,6
1970-07,272,7
1970-08,103,8
1970-09,242,9
1970-10,467,10
1970-11,342,11
1970-12,122,12
1971-01,82,1
1971-02,97,2
1971-03,127,3
1971-04,294,4
1971-05,263,5
1971-06,281,6
1971-07,139,7
1971-08,207,8
1971-09,394,9
1971-10,514,10
1971-11,84,11
1971-12,211,12
1972-01,32,1
1972-02,11,2
1972-03,119,3
1972-04,230,4
1972-05,533,5
1972-06,240,6
1972-07,82,7
1972-08,59,8
1972-09,252,9
1972-10,498,10
1972-11,312,11
1972-12,152,12
1973-01,19,1
1973-02,35,2
1973-03,224,3
1973-04,266,4
1973-05,352,5
1973-06,274,6
1973-07,240,7
1973-08,86,8
1973-09,81,9
1973-10,399,10
1973-11,434,11
1973-12,283,12
1974-01,2,1
1974-02,147,2
1974-03,103,3
1974-04,632,4
1974-05,463,5
1974-06,306,6
1974-07,309,7
1974-08,137,8
1974-09,363,9
1974-10,137,10
1974-11,105,11
1974-12,202,12
1975-01,65,1
1975-02,100,2
1975-03,253,3
1975-04,445,4
1975-05,415,5
1975-06,356,6
1975-07,143,7
1975-08,126,8
1975-09,318,9
1975-10,254,10
1975-11,703,11
1975-12,138,12
1976-01,17,1
1976-02,8,2
1976-03,130,3
1976-04,286,4
1976-05,174,5
1976-06,131,6
1976-07,119,7
1976-08,194,8
1976-09,54,9
1976-10,480,10
1976-11,476,11
1976-12,370,12
1977-01,14,1
1977-02,137,2
1977-03,384,3
1977-04,209,4
1977-05,806,5
1977-06,282,6
1977-07,58,7
1977-08,127,8
1977-09,184,9
1977-10,721,10
1977-11,221,11
1977-12,74,12
1978-01,56,1
1978-02,56,2
1978-03,220,3
1978-04,158,4
1978-05,643,5
1978-06,160,6
1978-07,81,7
1978-08,67,8
1978-09,128,9
