Areal Rainfall,obs,month
1951-01,328,1
1951-02,150,2
1951-03,232,3
1951-04,280,4
1951-05,342,5
1951-06,540,6
1951-07,272,7
1951-08,29,8
1951-09,402,9
1951-10,354,10
1951-11,486,11
1951-12,91,12
1952-01,254,1
1952-02,169,2
1952-03,212,3
1952-04,516,4
1952-05,610,5
1952-06,241,6
1952-07,104,7
1952-08,147,8
1952-09,152,9
1952-10,445,10
1952-11,313,11
1952-12,206,12
1953-01,159,1
1953-02,124,2
1953-03,300,3
1953-04,324,4
1953-05,41,5
1953-06,156,6
1953-07,462,7
1953-08,92,8
1953-09,188,9
1953-10,519,10
1953-11,273,11
1953-12,293,12
1954-01,225,1
1954-02,216,2
1954-03,337,3
1954-04,451,4
1954-05,420,5
1954-06,148,6
1954-07,121,7
1954-08,279,8
1954-09,138,9
1954-10,551,10
1954-11,259,11
1954-12,404,12
1955-01,163,1
1955-02,261,2
1955-03,332,3
1955-04,317,4
1955-05,552,5
1955-06,396,6
1955-07,220,7
1955-08,67,8
1955-09,345,9
1955-10,304,10
1955-11,373,11
1955-12,120,12
1956-01,139,1
1956-02,76,2
1956-03,272,3
1956-04,296,4
1956-05,207,5
1956-06,441,6
1956-07,66,7
1956-08,241,8
1956-09,287,9
1956-10,302,10
1956-11,571,11
1956-12,185,12
1957-01,78,1
1957-02,198,2
1957-03,179,3
1957-04,338,4
1957-05,328,5
1957-06,349,6
1957-07,253,7
1957-08,140,8
1957-09,60,9
1957-10,329,10
1957-11,614,11
1957-12,516,12
1958-01,157,1
1958-02,161,2
1958-03,331,3
1958-04,311,4
1958-05,363,5
1958-06,366,6
1958-07,107,7
1958-08,192,8
1958-09,125,9
1958-10,399,10
1958-11,357,11
1958-12,203,12
1959-01,133,1
1959-02,156,2
1959-03,156,3
1959-04,353,4
1959-05,336,5
1959-06,501,6
1959-07,268,7
1959-08,236,8
1959-09,312,9
1959-10,316,10
1959-11,377,11
1959-12,258,12
1960-01,205,1
1960-02,270,2
1960-03,164,3
1960-04,313,4
1960-05,277,5
1960-06,199,6
1960-07,324,7
1960-08,96,8
1960-09,325,9
1960-10,284,10
1960-11,250,11
1960-12,99,12
1961-01,183,1
1961-02,142,2
1961-03,201,3
1961-04,248,4
1961-05,376,5
1961-06,207,6
1961-07,239,7
1961-08,353,8
1961-09,273,9
1961-10,377,10
1961-11,361,11
1961-12,220,12
1962-01,157,1
1962-02,111,2
1962-03,192,3
1962-04,302,4
1962-05,510,5
1962-06,175,6
1962-07,184,7
1962-08,190,8
1962-09,279,9
1962-10,328,10
1962-11,352,11
1962-12,237,12
1963-01,252,1
1963-02,189,2
1963-03,215,3
1963-04,376,4
1963-05,318,5
1963-06,294,6
1963-07,289,7
1963-08,248,8
1963-09,364,9
1963-10,424,10
1963-11,453,11
1963-12,248,12
1964-01,111,1
1964-02,135,2
1964-03,270,3
1964-04,279,4
1964-05,436,5
1964-06,222,6
1964-07,426,7
1964-08,155,8
1964-09,327,9
1964-10,272,10
1964-11,226,11
1964-12,160,12
1965-01,46,1
1965-02,126,2
1965-03,204,3
1965-04,310,4
1965-05,511,5
1965-06,183,6
1965-07,78,7
1965-08,361,8
1965-09,337,9
1965-10,363,10
1965-11,395,11
1965-12,306,12
1966-01,186,1
1966-02,75,2
1966-03,286,3
1966-04,431,4
1966-05,103,5
1966-06,156,6
1966-07,125,7
1966-08,176,8
1966-09,567,9
1966-10,441,10
1966-11,270,11
1966-12,210,12
1967-01,151,1
1967-02,102,2
1967-03,216,3
1967-04,243,4
1967-05,211,5
1967-06,322,6
1967-07,211,7
1967-08,195,8
1967-09,169,9
1967-10,619,10
1967-11,442,11
1967-12,180,12
1968-01,215,1
1968-02,59,2
1968-03,202,3
1968-04,240,4
1968-05,262,5
1968-06,459,6
1968-07,314,7
1968-08,124,8
1968-09,302,9
1968-10,380,10
1968-11,234,11
1968-12,285,12
1969-01,63,1
1969-02,110,2
1969-03,168,3
1969-04,327,4
1969-05,743,5
1969-06,254,6
1969-07,53,7
1969-08,230,8
1969-09,179,9
1969-10,445,10
1969-11,270,11
1969-12,492,12
1970-01,175,1
1970-02,174,2
1970-03,288,3
1970-04,355,4
1970-05,221,5
1970-06,273,6
1970-07,238,7
1970-08,189,8
1970-09,178,9
1970-10,411,10
1970-11,374,11
1970-12,200,12
1971-01,212,1
1971-02,173,2
1971-03,237,3
1971-04,388,4
1971-05,283,5
1971-06,287,6
1971-07,225,7
1971-08,307,8
1971-09,585,9
1971-10,382,10
1971-11,419,11
1971-12,241,12
1972-01,95,1
1972-02,34,2
1972-03,189,3
1972-04,273,4
1972-05,521,5
1972-06,234,6
1972-07,195,7
1972-08,162,8
1972-09,433,9
1972-10,502,10
1972-11,437,11
1972-12,129,12
1973-01,47,1
1973-02,101,2
1973-03,372,3
1973-04,308,4
1973-05,216,5
1973-06,341,6
1973-07,186,7
1973-08,190,8
1973-09,102,9
1973-10,395,10
1973-11,283,11
1973-12,310,12
1974-01,4,1
1974-02,156,2
1974-03,159,3
1974-04,418,4
1974-05,322,5
1974-06,301,6
1974-07,378,7
1974-08,166,8
1974-09,442,9
1974-10,130,10
1974-11,142,11
1974-12,274,12
1975-01,84,1
1975-02,168,2
