id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,1,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,2,1.5
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,3,1
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,4,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,5,13.7
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,6,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,7,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,8,15.2
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,9,2.5
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,10,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,11,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,12,2.2
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,13,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,14,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,15,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,16,9.1
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,17,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,18,3
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,19,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,20,3.8
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,21,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,22,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,23,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,24,10.9
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,25,1.5
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,26,34
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,27,2.5
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,28,11.9
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,29,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,4,30,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,1,5.3
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,2,16.7
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,3,11.9
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,4,6.3
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,5,19
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,6,13.9
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,7,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,8,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,9,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,10,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,11,23.6
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,12,31.5
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,13,18.7
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,14,11.9
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,15,84.8
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,16,45.2
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,17,33.5
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,18,28.4
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,19,54.6
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,20,8.6
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,21,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,22,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,23,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,24,95.5
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,25,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,26,22.3
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,27,8.6
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,28,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,29,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,30,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,5,31,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,6,1,4.3
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,6,2,35.5
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,6,3,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,6,4,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,6,5,0
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,6,6,11.1
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,6,7,7.1
01RT0144,HALLAYEN ESTATE,80.35,6.65,16,5,PRECIP,1919,6,8,0
