id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,1,56.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,2,11.4
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,3,12
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,4,15
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,5,32
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,6,16
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,7,41
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,8,37.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,9,0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,10,0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,11,36
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,12,5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,13,2.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,14,10
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,15,14
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,16,6
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,17,36
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,18,7
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,19,14.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,20,12.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,21,7.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,22,8
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,23,10.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,24,8
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,25,5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,26,9
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,27,0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,28,12
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,29,14
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,6,30,7
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,1,6
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,2,23
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,3,5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,4,0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,5,8
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,6,4
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,7,9
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,8,7
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,9,10.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,10,14
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,11,8.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,12,0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,13,0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,14,2.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,15,8.4
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,16,3.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,17,19.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,18,17.2
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,19,9
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,20,5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,21,6
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,22,21
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,23,13
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,24,24
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,25,19.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,26,11
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,27,6.4
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,28,0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,29,0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,30,0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,7,31,0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,8,1,4
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,8,2,2.1
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,8,3,3.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,8,4,6
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,8,5,8.5
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,8,6,3
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2013,8,7,0
