id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,1,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,2,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,3,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,4,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,5,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,6,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,7,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,8,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,9,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,10,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,11,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,12,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,13,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,14,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,15,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,16,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,17,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,18,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,19,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,20,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,21,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,22,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,23,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,24,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,25,54
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,26,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,27,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,28,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,29,27
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,30,9
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,1,31,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,1,5.2
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,2,4.1
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,3,10.7
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,4,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,5,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,6,20
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,7,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,8,4
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,9,40
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,10,48
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,11,46
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,12,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,13,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,14,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,15,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,16,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,17,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,18,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,19,0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,2,20,0
