id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1988,9,15,350.0
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1989,5,30,308.0
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1972,5,8,299.7
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,2017,5,25,270.3
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1947,8,14,262.8
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1942,6,1,262.8
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1940,5,17,261.6
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1940,5,16,259.0
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1955,5,15,255.5
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1940,6,13,250.7
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,2019,7,18,230.0
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1939,5,6,229.3
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,2022,8,1,227.0
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,2021,7,9,225.0
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1978,11,23,216.7
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1982,8,6,215.4
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1940,5,18,213.3
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,2021,5,24,202.0
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1936,5,31,193.8
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1982,6,7,191.4
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1990,5,6,186.3
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,2003,5,17,186.2
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1964,5,4,185.9
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,1952,5,20,185.6
01RT0005,ALUPOLLA GROUP,80.58,6.72,762,5,PRECIP,2013,5,13,183.0
