id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1923,6,6,349.2
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1926,6,1,339.0
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1937,5,26,314.9
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1942,7,15,303.7
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1924,9,29,303.7
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1926,5,28,294.6
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1925,11,7,270.5
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1941,5,22,268.2
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1914,5,27,266.7
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1940,6,12,258.5
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1939,5,6,255.5
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1955,5,15,246.3
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1947,8,14,243.8
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1969,5,28,238.7
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1944,5,22,231.9
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1928,7,7,226.0
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1940,6,13,225.8
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1928,5,25,225.5
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1915,5,7,222.2
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1967,10,19,221.2
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1936,5,22,220.7
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1965,6,2,220.4
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1930,5,6,218.4
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1915,4,17,215.9
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1915,5,13,214.3
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1924,8,12,212.8
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1937,7,17,211.3
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1967,10,20,207.5
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1926,9,11,207.0
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1964,5,21,204.4
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1967,6,15,204.4
01RT0059,CARNEY ESTATE,80.45,6.78,16,5,PRECIP,1928,6,30,204.4
