id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,2017,5,25,540.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1947,8,14,247.6
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,2011,4,28,237.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1966,9,24,232.1
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,2021,7,9,215.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1960,1,13,207.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,2003,5,17,204.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1967,10,20,201.1
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1975,5,7,198.1
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1967,10,19,194.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,2015,4,20,192.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1993,6,27,180.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1990,11,6,176.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1988,5,26,173.7
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1993,5,26,173.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1984,4,23,172.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1993,10,7,171.1
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,2008,4,27,170.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1993,5,25,168.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1969,5,22,165.6
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,2018,5,20,161.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1989,6,2,160.8
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1986,9,29,160.0
01RT0086,DEPEDENA GROUP,80.55,6.47,16,5,PRECIP,1968,5,4,159.2
