id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2022,4,27,280.6
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1972,7,15,242.5
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1940,5,16,236.4
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1947,8,14,236.2
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1913,10,4,216.6
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1940,5,17,211.3
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1925,11,7,204.9
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1954,10,12,181.8
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1965,5,22,180.5
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2022,5,10,178.6
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1994,3,29,166.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2021,6,3,164.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1949,1,29,163.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1994,2,10,159.8
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2015,2,6,155.1
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1946,11,20,154.1
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1983,11,23,152.5
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1963,10,21,152.3
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2013,5,13,151.4
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1936,5,23,149.8
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1971,9,24,149.8
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2003,11,3,149.6
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1951,1,17,149.1
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2006,11,4,147.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2010,5,19,145.8
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1943,5,11,145.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2006,11,25,145.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2019,12,20,144.8
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1921,1,13,144.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1968,12,27,142.2
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1967,10,19,142.2
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1952,5,20,141.7
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1948,4,10,139.9
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1961,12,7,139.7
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2014,11,21,137.5
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1944,10,21,137.1
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1920,4,30,136.9
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1933,5,23,136.1
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1992,3,17,135.5
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1923,10,17,134.3
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1936,5,14,133.3
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2019,11,30,132.5
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1981,1,3,132.1
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1967,10,20,132.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2006,11,12,132.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1925,2,4,130.8
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1977,11,1,130.6
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1983,10,18,130.4
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1978,10,21,128.8
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1924,3,29,128.7
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1978,11,23,128.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1977,12,10,127.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1963,11,22,127.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1940,5,18,127.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2007,12,2,126.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2017,11,29,125.8
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1957,1,16,125.7
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1934,11,16,125.4
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2017,5,13,124.6
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2006,10,18,124.5
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1956,11,15,124.4
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1978,5,14,123.4
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2023,10,28,122.8
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1919,9,22,122.6
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1939,5,6,122.6
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1924,3,24,122.1
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2002,10,5,122.1
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1980,9,25,120.7
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1959,3,15,120.6
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1943,4,5,120.4
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1952,4,17,120.4
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1943,5,13,120.1
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2005,1,29,119.5
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1978,5,13,119.4
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2010,5,18,119.2
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2010,1,8,117.2
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1983,5,17,115.9
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1980,3,29,115.6
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1980,3,10,115.6
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2023,11,21,115.4
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1948,11,9,115.3
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1975,2,4,115.3
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1923,10,20,115.3
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1988,4,13,115.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1940,6,13,115.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1995,5,4,114.8
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1962,11,7,114.3
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1941,10,31,114.3
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2023,10,18,114.2
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2025,1,30,114.0
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,2021,5,24,113.7
01RT0087,DETANAGALLA,80.68,6.73,16,5,PRECIP,1950,3,7,113.2
