id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1939,5,6,299.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1927,5,1,265.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1925,11,7,261.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1938,2,8,249.6
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1939,5,7,237.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1931,5,7,229.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1989,7,11,228.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1937,5,26,228.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2017,5,25,212.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1928,7,7,211.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1975,5,23,207.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2021,3,29,207.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1930,5,6,205.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1967,10,18,205.4
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1924,9,29,203.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1952,10,3,200.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1997,9,18,200.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1958,10,24,199.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1951,5,12,198.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1937,9,28,196.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1999,4,19,195.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2005,11,21,195.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1964,5,6,192.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1921,5,25,192.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1978,5,13,185.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1967,6,14,184.6
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1960,7,16,182.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1992,6,4,180.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1972,6,18,180.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2021,6,3,180.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1966,9,24,179.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1947,8,14,178.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1991,6,3,178.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1924,11,7,177.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1947,8,13,176.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1919,10,12,176.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1945,6,6,176.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1918,6,16,176.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1916,7,9,176.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1944,5,22,174.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1920,6,14,173.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1982,6,8,173.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1919,5,23,173.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1993,5,31,172.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1982,5,18,172.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1925,9,29,171.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1950,2,22,169.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2018,5,20,168.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1942,10,4,167.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2008,7,18,166.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1964,7,20,165.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1951,11,11,165.6
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1945,10,28,165.6
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2022,5,24,165.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1926,3,9,164.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2002,3,14,164.4
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1916,5,18,163.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1929,5,22,162.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2016,5,15,162.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2004,9,17,162.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1918,7,25,162.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1955,10,19,161.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1957,5,30,161.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1941,5,22,160.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1992,11,13,160.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2006,10,17,160.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1935,2,17,160.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2002,6,6,159.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1935,10,13,159.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1985,5,22,157.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1988,9,7,157.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1997,7,20,157.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1931,7,29,156.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1965,10,24,156.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1998,7,18,156.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2020,5,15,156.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2004,9,23,156.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1966,10,17,155.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2017,9,7,155.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1936,5,20,154.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1921,12,8,154.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2024,11,15,154.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1944,9,15,153.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1978,11,23,153.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1927,5,26,153.4
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1999,10,11,153.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1977,6,1,152.4
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1984,5,7,152.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2011,5,26,152.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1957,5,31,151.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1949,5,12,150.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1922,11,8,150.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1989,6,4,150.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2007,8,31,150.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1970,3,29,149.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1949,8,26,149.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1929,9,19,149.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2012,11,27,149.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2016,5,19,148.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1975,5,6,148.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1923,5,17,147.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1955,5,16,147.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1946,4,29,147.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2018,11,24,147.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2000,2,4,147.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1926,9,11,146.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1989,6,3,146.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1948,10,21,145.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1954,11,15,145.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1967,10,19,145.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1928,6,30,144.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1963,9,17,144.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2012,5,25,144.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1937,5,5,143.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1996,10,14,142.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1920,4,26,142.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1942,4,23,142.4
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1971,8,12,142.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1984,5,28,142.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2014,9,30,142.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1989,6,2,142.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2003,5,12,142.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1920,5,1,139.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1988,11,10,139.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1930,5,5,139.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1974,4,27,139.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1996,9,21,139.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2022,7,31,139.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1985,5,23,138.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1966,12,3,138.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1921,1,24,138.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2022,5,9,138.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1998,7,23,137.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1988,6,25,137.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1918,12,3,137.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1969,5,22,137.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2005,11,1,137.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1963,10,21,136.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1944,5,19,136.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2021,5,13,136.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1926,10,5,135.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1955,10,20,135.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2011,4,28,135.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2010,12,1,135.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1968,11,9,134.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1941,9,30,134.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1939,8,9,134.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1941,12,19,134.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2006,10,22,133.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1957,11,17,132.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1951,11,29,132.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1982,3,21,132.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1972,5,13,132.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2009,8,16,131.1
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1947,8,8,130.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1975,11,13,130.8
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1940,8,1,130.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2022,10,14,130.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1918,12,2,129.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1975,9,24,129.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1979,10,30,129.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1981,9,16,129.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1923,9,9,129.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1946,12,31,128.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1933,10,9,128.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1949,8,30,128.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1993,10,7,128.3
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1959,6,17,128.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1969,5,28,128.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1965,9,27,128.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1969,2,28,127.5
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1941,10,2,127.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1942,6,2,127.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1988,7,21,127.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1964,5,19,126.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2016,5,27,126.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1938,2,5,126.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,2019,8,13,126.2
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1959,11,8,125.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1959,6,8,125.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1979,6,13,125.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1936,7,27,125.7
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1949,10,21,125.4
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1992,6,6,125.0
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1937,5,25,124.9
01RT0104,EHELIYAGODA S.P.,80.27,6.85,226,5,PRECIP,1995,6,2,124.9
