id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1950,4,4,150.8
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1948,1,14,131.5
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1941,11,27,129.5
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1941,12,17,129.0
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1951,11,11,128.7
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1948,12,3,121.6
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1931,1,14,117.8
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1940,5,17,116.8
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1940,5,16,115.8
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1942,1,28,113.0
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1940,11,5,112.7
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1950,11,19,112.2
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1944,4,21,111.2
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1941,4,5,109.2
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1936,10,25,104.1
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1934,2,22,103.6
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1936,9,18,101.6
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1933,3,16,100.3
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1949,10,31,98.5
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1937,10,29,96.5
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1933,5,5,96.2
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1936,12,4,95.2
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1937,2,9,95.2
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1936,9,26,93.9
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1939,12,3,92.7
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1947,8,14,92.7
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1941,10,20,92.7
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1940,5,1,90.6
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1934,12,1,89.9
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1952,11,24,85.3
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1953,10,20,83.8
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1943,5,13,83.8
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1934,1,7,81.2
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1934,10,23,81.0
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1944,4,15,80.0
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1950,11,29,78.7
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1944,11,25,78.2
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1938,12,25,77.9
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1937,11,11,76.7
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1953,10,17,76.7
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1946,3,16,76.1
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1933,4,5,75.1
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1951,9,18,75.1
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1950,10,24,74.9
01RT0111,EMBILIPITIYA,80.85,6.32,76,5,PRECIP,1952,9,29,73.6
