id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1982,6,8,307.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2003,5,17,297.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1975,5,6,274.3
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1974,4,28,271.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1949,8,26,265.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1939,5,6,264.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1996,6,8,246.8
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1989,6,2,242.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1937,5,26,238.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1967,10,19,231.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1947,8,14,220.2
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2018,5,21,215.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1939,8,9,215.3
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2005,11,21,211.8
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1941,9,30,210.8
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1999,4,20,210.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2021,6,2,208.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1993,5,31,204.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1971,8,19,204.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2022,8,31,202.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1969,5,28,199.8
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2019,8,13,196.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1989,6,3,195.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1941,5,21,194.3
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1972,5,8,191.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2024,6,1,188.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1942,10,4,187.9
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1969,5,22,187.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1992,6,4,187.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1988,6,1,187.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1978,5,13,185.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1942,6,2,179.8
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2020,5,19,179.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1970,12,11,179.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2023,6,2,176.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1941,10,2,175.2
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2021,6,3,175.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1941,5,22,174.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1963,9,17,172.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1988,9,7,172.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1945,10,28,171.9
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1972,6,18,170.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1949,5,12,170.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1953,10,25,167.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1983,12,29,166.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1984,5,21,166.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1984,4,23,166.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1974,9,30,165.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1957,5,31,162.3
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2024,8,17,161.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1937,9,28,161.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2007,8,30,160.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1995,5,24,159.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1998,7,18,158.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1993,6,29,158.3
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2020,5,26,158.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1979,5,12,157.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1992,5,18,157.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1962,5,15,154.9
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1987,10,26,154.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1979,6,13,153.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1976,5,22,153.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2022,10,14,152.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1944,5,22,150.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1940,10,14,150.3
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1942,4,23,149.8
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1974,5,8,149.8
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1982,4,12,149.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1997,11,3,148.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2004,7,6,148.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1985,5,23,147.2
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1997,7,20,146.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1947,8,13,146.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1974,5,9,146.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1986,10,17,146.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1999,4,10,145.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2008,5,30,144.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1940,5,15,143.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1988,2,29,143.2
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1982,5,27,143.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1955,10,17,142.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1989,7,11,142.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1964,5,19,140.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1979,5,13,137.2
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1982,8,6,136.9
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1964,7,20,136.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2008,4,28,136.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1967,10,20,135.8
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2004,10,17,135.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1974,9,15,135.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2018,5,24,135.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1984,5,28,134.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2008,7,18,134.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1966,9,28,133.8
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1983,5,27,133.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1982,6,1,133.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1987,11,22,133.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1989,7,10,133.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1988,12,5,133.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2002,12,19,133.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1997,4,6,132.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1939,5,7,132.3
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1944,5,23,132.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2003,9,6,132.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1938,2,8,130.8
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1954,11,16,130.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1988,8,11,130.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1937,8,6,130.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2006,6,20,130.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2004,9,17,130.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1982,4,11,129.3
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2020,9,6,129.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1937,5,25,128.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1996,9,21,128.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2019,9,16,128.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2008,7,22,128.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2021,5,13,128.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2022,12,4,128.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1981,11,29,127.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2004,9,23,127.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1952,10,3,126.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1942,3,28,126.2
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1994,5,27,126.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1955,5,16,125.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1950,2,22,125.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1992,11,12,125.2
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1993,10,7,125.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2024,6,2,125.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1955,5,2,124.9
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1965,5,6,124.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1984,11,10,124.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1995,10,6,124.3
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1995,6,2,123.9
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1971,9,20,123.7
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1945,6,6,123.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1989,10,30,123.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2003,7,10,123.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1997,9,15,122.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1965,9,27,121.9
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1978,5,4,121.9
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1960,7,17,121.4
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2022,12,3,121.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1940,5,17,120.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1984,7,11,120.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1983,9,6,120.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1972,5,13,120.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1952,5,20,120.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2008,6,2,120.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1999,4,9,120.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1968,7,17,119.6
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1966,8,24,119.3
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1991,10,29,119.2
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1972,5,1,119.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1976,8,23,118.8
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1998,10,11,118.5
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1952,4,17,118.1
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2022,12,2,118.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2005,12,13,117.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,2020,9,1,117.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1969,10,19,117.0
01RT0124,GALATURA ESTATE,80.28,6.7,16,5,PRECIP,1998,12,1,117.0
