id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1978,5,13,340.4
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1947,8,14,339.8
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1966,1,22,279.4
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1967,10,19,249.4
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1944,5,22,248.4
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1944,5,23,225.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1949,8,27,220.9
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1978,9,26,218.4
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1945,10,28,194.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1944,9,17,191.2
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1967,10,20,186.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1971,8,19,172.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1972,5,8,172.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1945,6,6,168.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1956,4,28,162.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1952,10,3,161.2
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1973,8,26,161.2
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1955,5,15,158.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1949,2,9,155.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1964,4,27,154.9
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1949,7,23,154.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1970,3,29,153.4
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1970,11,27,152.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1973,5,24,148.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1952,5,20,148.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1956,6,18,147.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1974,2,25,146.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1966,9,24,145.2
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1947,8,13,144.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1962,5,1,144.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1968,6,4,144.2
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1944,5,17,143.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1972,5,13,141.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1944,5,19,141.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1970,11,18,140.9
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1969,5,22,140.2
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1947,3,5,139.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1972,6,18,138.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1969,5,28,136.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1957,3,19,135.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1969,10,19,133.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1953,10,20,133.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1959,7,16,133.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1960,6,16,133.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1964,9,13,132.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1978,9,30,132.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1971,9,21,132.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1978,1,24,131.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1964,7,20,130.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1966,9,28,130.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1945,5,4,130.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1978,5,10,129.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1949,5,12,129.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1972,10,3,129.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1958,8,6,128.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1965,9,27,127.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1946,12,4,125.4
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1974,9,26,124.9
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1949,10,9,124.4
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1960,9,13,124.4
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1977,10,23,124.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1960,4,17,123.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1967,5,23,121.9
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1955,5,16,120.9
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1972,11,9,120.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1957,10,20,120.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1971,6,27,120.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1972,9,14,119.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1959,6,17,119.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1974,9,30,118.8
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1953,11,15,118.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1967,11,3,118.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1971,10,28,118.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1978,5,14,118.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1964,5,19,117.8
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1963,9,17,117.8
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1946,8,31,117.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1956,6,17,117.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1957,5,30,117.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1959,6,8,116.8
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1969,5,13,116.8
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1961,5,27,116.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1959,6,9,116.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1971,8,12,116.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1948,10,21,115.8
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1945,4,18,115.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1971,9,20,114.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1974,9,22,114.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1974,9,29,114.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1970,6,18,114.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1974,9,28,114.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1974,9,27,114.3
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1974,9,20,114.0
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1961,5,21,113.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1974,9,19,113.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1958,2,1,112.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1955,10,19,111.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1955,10,17,111.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1974,9,21,111.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1956,8,10,111.5
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1955,4,27,110.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1971,5,26,110.2
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1947,11,13,110.2
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1973,11,4,109.9
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1967,6,14,109.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1944,4,15,109.2
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1956,1,8,109.2
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1956,10,3,108.7
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1947,10,9,107.4
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1951,5,30,106.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1954,6,1,106.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1969,4,17,106.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1973,11,5,105.9
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1968,5,4,105.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1963,10,21,105.6
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1962,5,15,105.4
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1961,7,21,105.1
01RT0133,GILIMALAY ESTATE,80.43,6.75,16,5,PRECIP,1961,10,29,105.1
