id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2017,5,25,398.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2018,5,20,198.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2022,9,1,197.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2016,5,15,187.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2024,6,1,183.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2021,6,4,180.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2022,10,15,162.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2021,6,3,160.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2020,5,15,160.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2022,5,25,157.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2019,8,13,156.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2023,11,1,155.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2022,5,14,145.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2022,5,13,141.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2022,5,10,140.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2023,10,31,138.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2021,8,9,138.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2022,6,1,138.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2021,5,13,137.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2023,6,2,136.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2014,6,2,135.1
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2020,9,18,135.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2017,11,6,134.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2022,9,6,132.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2020,9,6,132.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2021,4,15,131.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2020,9,1,128.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2024,6,2,128.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2021,5,25,127.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2023,5,12,126.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2020,11,5,126.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2018,11,24,120.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2024,10,12,120.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2022,12,5,120.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2020,5,26,120.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2024,10,11,120.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2021,11,28,118.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2015,4,25,118.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2022,12,26,117.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2021,5,4,117.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2021,7,10,116.0
01RT357B,MUTWAGALLA ESTATE,80.38,6.7,16,5,PRECIP,2016,5,13,115.0
