id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,7,9,240.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,5,24,225.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,11,17,207.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2020,5,19,176.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,8,1,173.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,5,12,168.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,5,10,160.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2019,7,18,158.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,5,14,148.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2017,11,29,148.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2019,11,30,139.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,10,11,138.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2017,5,25,134.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,5,13,133.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,8,2,132.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,6,8,130.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,5,26,129.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,4,26,129.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2020,5,17,123.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2024,10,31,120.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,9,28,117.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,6,13,115.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,5,25,111.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,3,14,109.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,10,1,107.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,12,6,102.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,9,26,102.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2018,11,24,102.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2020,5,18,101.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2024,5,25,100.1
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2024,5,22,95.9
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2024,7,13,95.5
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2019,10,1,94.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,3,16,93.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,9,6,93.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,12,14,92.2
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,10,14,92.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,10,30,92.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,4,29,91.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2024,11,12,90.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,10,1,88.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2018,5,21,88.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2016,5,17,87.5
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,9,14,87.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,9,4,87.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2024,11,18,86.3
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,10,3,86.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2017,5,24,86.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2017,5,30,85.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,5,31,85.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2019,8,13,82.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2018,5,20,82.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2016,4,6,81.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,7,19,80.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,2,19,80.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,11,22,80.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,6,3,79.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2017,5,26,79.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2024,12,14,78.9
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2016,4,19,78.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,4,8,78.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,6,2,78.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2020,5,12,78.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2017,5,29,78.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,11,5,77.5
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2023,7,2,77.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2022,12,1,77.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2015,5,5,77.0
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2024,12,13,76.6
01RT450C,RASSAGALA,80.62,6.68,16,5,PRECIP,2021,10,26,76.0
