id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,mm,dd,obs
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2017,11,29,183.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2017,12,1,183.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2004,11,29,160.2
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2010,1,8,144.6
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,1997,10,21,144.4
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2003,3,17,143.5
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2019,10,15,140.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2003,10,31,138.4
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2006,10,26,135.5
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2007,12,18,134.5
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2004,4,25,127.3
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2018,1,12,126.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2010,7,9,124.5
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2023,4,8,119.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2011,11,25,118.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2019,4,20,117.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2005,4,18,115.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2018,5,20,115.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2013,1,7,113.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2007,12,14,110.1
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2019,11,30,110.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2018,5,8,110.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2003,11,30,108.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2021,10,31,107.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2024,11,18,106.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2000,2,5,103.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2018,12,25,102.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,1998,5,11,99.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,1998,12,21,98.5
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2006,10,18,97.3
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,1997,12,5,96.5
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2009,4,5,93.2
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2020,11,17,92.5
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2007,11,3,92.5
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2004,3,31,92.5
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2012,12,17,92.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2013,5,20,92.0
01RT382B,NON PAREIL (BELIHULOYA),80.78,6.75,0,5,PRECIP,2018,10,1,92.0
